,index,video_id,class,kinetics_start,kinetics_end,repetition_start,repetition_end,count,rep_start,rep_end
108,845,T1op3DkepxU,exercising arm,15,25,17.869536,24.476143,3,86,284
109,846,UBkYEQ-eN_w,exercising arm,34,44,38.666667,44.0,3,140,300
110,847,UGSwVRU_MQ4,exercising arm,450,460,450.0,460.0,3,0,300
111,848,UHYtzmgQ46E,exercising arm,1,11,6.08,11.0,2,152,300
112,849,VBf2vI3BXB8,exercising arm,16,26,16.0,25.976643,2,0,299
113,850,VrMiAXQzkPo,exercising arm,64,74,64.0,70.339673,2,0,190
114,851,VrMiAXQzkPo,exercising arm,64,74,70.439773,73.943277,2,193,298
115,852,W9fgamkSb1U,exercising arm,44,54,44.0,54.0,20,0,300
116,853,XLjbgCM4Y6I,exercising arm,0,10,0.0,7.340674,2,0,220
117,854,X07dSLj9kcg,exercising arm,330,340,330.0,339.943277,5,0,298
118,855,X4wDuKUAfcQ,exercising arm,1,11,4.744775,9.772293,2,112,263
119,856,ZkKWy3p-ohY,exercising arm,208,218,208.0,217.976643,5,0,299
120,857,Z1UBYA_c9wY,exercising arm,0,10,0.0,9.994986,3,0,299
121,858,aaa_zb7GwWc,exercising arm,0,10,6.0,8.333333,3,180,249
122,859,bbuh4OovBto,exercising arm,27,37,27.0,36.943277,4,0,298
123,860,bl0J_8pKDVk,exercising arm,49,59,49.0,57.074741,7,0,242
124,861,dhdKkkgKtjg,exercising arm,379,389,381.702703,388.70971,3,81,291
125,863,fEh_nhChKEk,exercising arm,7,17,9.352353,16.976643,4,70,299
126,864,gFMSS3pKM4Y,exercising arm,0,10,0.0,10.0,4,0,300
127,865,gkHrikKl93s,exercising arm,1,11,1.0,11.0,3,0,300
128,866,ieps1GV1aeI,exercising arm,116,126,116.0,125.933333,6,0,297
129,867,k6yB-jH7y_Q,exercising arm,311,321,311.0,321.0,4,0,300
130,868,l76hBV7UzLw,exercising arm,837,847,837.0,839.366667,2,0,71
131,869,l76hBV7UzLw,exercising arm,837,847,840.5,845.733333,4,105,261
132,870,mRyjVquad0k,exercising arm,0,10,4.44,10.0,3,133,300
133,871,oBOyOayYucQ,exercising arm,54,64,54.0,63.976643,5,0,299
134,872,ooRYOIRAfKg,exercising arm,93,103,93.233333,99.433333,4,6,192
135,873,o1vEiDSfufo,exercising arm,91,101,91.0,101.0,4,0,300
136,874,pH0gdQqINyk,exercising arm,1,11,1.0,5.913594,2,0,147
137,875,pnxdMACFtvo,exercising arm,114,124,114.0,120.798465,4,0,203
138,876,qDgPFmg-GFI,exercising arm,0,10,0.533333,10.0,3,15,300
139,877,qKHirCx1Feo,exercising arm,49,59,49.0,53.037371,2,0,121
140,878,qKHirCx1Feo,exercising arm,49,59,53.070737,58.976643,3,122,299
141,879,rM7Q9yfIk0c,exercising arm,0,10,0.0,9.843177,2,0,295
142,880,rNXeVH2XUKg,exercising arm,26,36,26.0,35.943277,5,0,298
143,881,rm36qf_QPzA,exercising arm,6,16,6.0,15.966667,5,0,299
144,882,sM50amoucns,exercising arm,15,25,15.0,18.083334,3,0,92
145,883,sNy43IgJT-g,exercising arm,65,75,65.0,74.968302,5,0,299
146,884,sfs7Nm9qLCo,exercising arm,56,66,62.04,66.0,3,181,300
147,885,uKCNs-uQqm0,exercising arm,0,10,0.0,8.833333,4,0,264
148,886,uogSE4tuIjg,exercising arm,4,14,5.508397,13.955418,2,45,298
149,887,veoRQmL1VQo,exercising arm,39,49,39.966667,43.833333,3,29,144
150,888,veoRQmL1VQo,exercising arm,39,49,43.9,48.966667,3,146,299
151,889,wgXd4uDG5NM,exercising arm,0,10,0.4004,9.976643,5,12,299
152,890,xetsmsbgaJ8,exercising arm,191,201,192.034368,200.943277,2,31,298
153,891,yet9ZiqPQ_Y,exercising arm,36,46,42.139473,45.976643,7,184,299
154,892,y9vkslAzNUY,exercising arm,52,62,52.0,58.577296,5,0,197
155,893,y9vkslAzNUY,exercising arm,52,62,59.455942,61.991465,2,223,299
156,894,6C_nL3N0ZLo,exercising arm,3,13,3.0,8.966667,5,0,179
157,895,6ZAAuHQIYg0,exercising arm,50,60,50.0,59.042376,2,0,271
158,896,6Z4SrAjy5aQ,exercising arm,5,15,5.0,13.308308,2,0,249
159,897,7Mjn3jrBeuQ,exercising arm,29,39,29.0,35.072739,4,0,182
160,898,7Mjn3jrBeuQ,exercising arm,29,39,35.67334,38.943277,2,200,298
161,899,7X_6VXhAbZ4,exercising arm,931,941,931.500542,937.173354,3,15,185
162,900,7X_6VXhAbZ4,exercising arm,931,941,937.507049,939.926337,2,195,267
163,901,7i6ttTxfbyA,exercising arm,53,63,53.0,63.0,2,0,300
164,902,78UtcvyeTnc,exercising arm,47,57,47.0,56.968302,8,0,299
165,903,8Vk-ESIHNBQ,exercising arm,9,19,9.0,19.0,6,0,300
166,904,8cGA2tLn70Q,exercising arm,12,22,12.0,22.0,2,0,300
167,905,8kkfUwRmDoI,exercising arm,10,20,10.0,20.0,4,0,300
168,906,9uq93pDWHbE,exercising arm,193,203,193.0,202.943277,3,0,298
169,907,_Mdd5Lc0lzg,exercising arm,13,23,13.0,22.015025,5,0,270
170,908,_ujG14Akcac,exercising arm,33,43,35.102102,42.943277,2,63,298
171,909,ABUjxBkFUWA,front raises,37,47,37.701725,41.375464,2,21,131
172,910,A68J41gXTyY,front raises,4,14,4.0,10.047714,3,0,181
173,911,BBTHNwPx_do,front raises,2,12,2.0,9.807808,3,0,234
174,912,CQDBpBmzYaQ,front raises,0,10,7.007007,9.968302,3,210,299
175,913,C29kvQkzadQ,front raises,17,27,17.900901,26.976643,2,27,299
176,914,C52j69LRW5Q,front raises,0,10,2.769436,9.976643,4,83,299
177,915,DfawoubB5R4,front raises,1,11,3.0,10.92,4,60,297
178,916,D7C85qKg_Gk,front raises,18,28,18.0,23.488822,3,0,164
179,917,EMm7fbm9nus,front raises,1,11,1.0,10.968302,4,0,299
180,918,Eeqcp42rIGs,front raises,5,15,5.0,14.409409,6,0,282
181,919,EvYK2eA7xVw,front raises,5,15,9.958333,15.0,2,148,300
182,920,FQG7XicPl3U,front raises,14,24,19.188522,23.976643,3,155,299
183,921,GH4Z41Wn3KQ,front raises,46,56,46.0,49.303303,2,0,99
184,922,GTAH6-CL4Ys,front raises,2,12,2.0,8.17284,3,0,185
185,923,GcWgWifEdyg,front raises,88,98,88.0,97.933333,4,0,297
186,924,HIt1RcdVapg,front raises,5,15,5.0,9.462022,2,0,133
187,925,HQyIPAJLqlc,front raises,7,17,7.0,13.439773,2,0,193
188,926,HZNs_FOXF14,front raises,2,12,2.0,11.943277,3,0,298
189,927,Heid6l1GHOc,front raises,0,10,0.45045,9.90991,3,13,297
190,928,H7ufIPPvd5U,front raises,2,12,4.6,11.68,2,77,290
191,929,Ix5p_7k676k,front raises,2,12,2.0,5.766667,2,0,113
192,930,Ix5p_7k676k,front raises,2,12,7.933333,12.0,2,177,300
193,931,JQBT1jBkoyQ,front raises,19,29,19.0,26.866667,2,0,236
194,932,JWPJRoehLxg,front raises,43,53,43.0,53.0,5,0,300
195,933,JhoPVQlJhlU,front raises,0,10,0.0,7.666667,2,0,230
196,934,JzLzI-R03ds,front raises,0,10,4.037371,9.976643,4,121,299
197,935,J81S0R4jZfo,front raises,4,14,4.333667,13.976643,5,10,299
198,936,KFKXbf3-Vg8,front raises,11,21,11.0,20.976643,6,0,299
199,937,KsSPKSXkphg,front raises,2,12,2.900901,9.941275,3,27,238
200,938,L21gCms-JYw,front raises,3,13,4.001001,10.707708,3,30,231
201,939,MKni-WE_EJA,front raises,10,20,10.0,19.976643,4,0,299
202,940,MQ8inujgTR0,front raises,11,21,12.766667,17.666667,2,53,200
203,941,Ma_6eNkNSJU,front raises,5,15,5.0,14.976643,6,0,299
204,942,MfNYw7drgw4,front raises,0,10,0.0,7.413793,4,0,222
205,943,NCsAAUM_NTY,front raises,10,20,10.0,20.0,6,0,300
206,944,NiZa1nz1jhU,front raises,0,10,0.0,10.0,6,0,300
207,945,ODPGbGJPJOE,front raises,76,86,76.0,85.976643,6,0,299
208,946,OqGJiF2uNFY,front raises,2,12,2.0,6.754755,3,0,142
209,947,OqGJiF2uNFY,front raises,2,12,9.340674,11.968302,2,220,299
210,948,O2yGGRuKXto,front raises,5,15,5.0,14.976643,7,0,299
211,949,O3K-uKeobMw,front raises,2,12,6.666667,12.0,3,140,300
212,950,P-6nG5rM7YQ,front raises,0,10,0.333333,6.1,3,9,183
213,951,P-6nG5rM7YQ,front raises,0,10,6.8,10.0,2,204,300
214,952,Q5ukigw09I0,front raises,0,10,0.0,7.657658,3,0,229
215,953,SM8QucBW7VE,front raises,2,12,7.972639,11.976643,2,179,299
216,954,T46_ndLYFe4,front raises,0,10,0.0,10.0,5,0,300
217,955,Vw0nq7cPDcg,front raises,4,14,4.0,13.976643,12,0,299
218,956,V3RdM_Qf1CY,front raises,8,18,8.0,17.926593,3,0,297
219,957,WGcw4dPg0Qs,front raises,7,17,7.0,17.0,7,0,300
220,958,XV3_pSSGqbA,front raises,0,10,0.0,6.239573,5,0,187
221,959,XoEAo1jWHB4,front raises,2,12,2.966667,12.0,4,29,300
222,960,X86TOmc07sA,front raises,1,11,1.0,8.921917,3,0,237
223,961,YW2Z0KDK1Iw,front raises,18,28,18.0,27.043194,5,0,271
224,962,aN9PmVjbwqo,front raises,5,15,5.0,13.375042,5,0,251
225,963,aXs3nGPIdW4,front raises,10,20,10.0,20.0,3,0,300
226,964,bRYkhg1jz3M,front raises,1,11,1.0,10.976643,5,0,299
227,965,bhjtEvQ_PP8,front raises,2,12,2.0,8.366667,3,0,191
228,966,bycf-KRhGts,front raises,8,18,8.5,18.0,6,15,300
229,967,b5fKZcvZ9xw,front raises,0,10,0.0,9.384384,3,0,281
230,968,b7pHrYAitKU,front raises,0,10,0.0,9.976643,6,0,299
231,969,cEvK2aS5ehU,front raises,14,24,14.0,22.975642,6,0,269
232,970,ci46dm87tfo,front raises,0,10,0.033367,9.976643,4,1,299
233,971,dBCmbYuAK7w,front raises,7,17,7.966667,15.966667,4,29,269
234,972,dMLonKJ2oBg,front raises,9,19,10.0,15.566667,3,30,197
235,973,dSUqi2thxAE,front raises,1,11,1.0,11.0,7,0,300
236,974,e3JvRiHmnI0,front raises,3,13,3.766667,12.566667,4,23,287
237,975,fFCbUAZz3oc,front raises,7,17,11.037371,16.976643,2,121,299
238,976,fZrwazqph2g,front raises,4,14,4.0,13.976643,5,0,299
239,977,fcbdbV8aXHc,front raises,2,12,2.0,11.6,6,0,288
240,978,f0EJIyEqKDg,front raises,3,13,3.0,11.742075,6,0,262
241,979,f83jTVAR_XY,front raises,4,14,4.0,13.976643,6,0,299
242,980,gWYAcOfnKys,front raises,3,13,3.567234,11.942276,3,17,268
243,981,gp71eVqIbpE,front raises,2,12,2.0,9.36,2,0,220
244,982,g4FMo-eQv-M,front raises,0,10,0.05005,6.556557,2,1,196
245,983,hBq3ObGmxKE,front raises,29,39,29.0,35.633333,5,0,198
246,984,iDtN2lN7EPo,front raises,9,19,9.0,18.666667,3,0,290
247,985,ii2Cokl4lc0,front raises,0,10,0.0,6.806807,3,0,204
248,986,jNEaz0Y2kBU,front raises,15,25,18.872605,24.948588,3,116,298
249,987,kCXfIdx_wH4,front raises,5,15,5.0,14.275943,6,0,278
250,988,kL0UYOzU3Hw,front raises,7,17,9.748511,16.432391,4,82,282
251,989,lWJ-xArazzc,front raises,2,12,7.7,12.0,3,171,300
252,990,lZkahBIvJtQ,front raises,12,22,12.0,22.0,8,0,300
253,991,lirLURjxr0E,front raises,3,13,3.2,13.0,3,6,300
254,992,l7QAgN6oRBE,front raises,2,12,2.0,6.921588,2,0,147
255,993,mvObYE1jIMA,front raises,0,10,0.0,10.0,7,0,300
256,994,myQzH7BEd6g,front raises,1,11,1.3,5.833333,2,9,144
257,995,nTi6Els5h9c,front raises,2,12,2.0,11.666667,4,0,290
258,996,n1RjNlg2VPk,front raises,4,14,4.0,11.974641,4,0,239
259,997,of3i0vPTk8c,front raises,9,19,9.1001,14.271939,2,3,158
260,998,of3i0vPTk8c,front raises,9,19,15.406406,18.976643,2,192,299
261,999,olGMSAowyrA,front raises,26,36,27.066667,36.0,4,32,300
262,1000,phzeDHW1qME,front raises,5,15,7.502503,10.739072,2,75,172
263,1001,reraUbcS7RI,front raises,0,10,0.0,10.0,6,0,300
264,1002,s-qdJZ8IRkU,front raises,1,11,3.569236,9.675342,2,77,260
265,1003,tcX2qWFCIik,front raises,6,16,6.0,16.0,4,0,300
266,1004,vF0Gz5AOcSg,front raises,0,10,6.448276,9.862069,2,193,295
267,1005,zQhZ1MOgT9g,front raises,9,19,10.835168,18.976643,2,55,299
268,1006,z-JNOUyV7Nk,front raises,17,27,17.0,25.541875,3,0,256
269,1007,0OpUaIKCDmc,front raises,7,17,7.0,16.960892,5,0,298
270,1008,0cie4Dag5NM,front raises,5,15,5.0,15.0,5,0,300
271,1009,0hhwLMwIwWk,front raises,2,12,2.0,6.992628,3,0,149
272,1010,0_EeIVIi5vU,front raises,12,22,12.0,15.795462,2,0,113
273,1011,0_EeIVIi5vU,front raises,12,22,18.42309,21.968302,2,192,299
274,1012,1AuqtFXflQ4,front raises,14,24,14.166667,24.0,4,5,300
275,1013,1mjrjDOhaV8,front raises,5,15,5.0,15.0,8,0,300
276,1014,1r-kCQoi50A,front raises,0,10,2.969636,9.976643,2,89,299
277,1015,2C6MGHJ9b4k,front raises,0,10,2.366667,10.0,4,71,300
278,1016,2DH_P9OCgU4,front raises,11,21,11.083417,20.976643,3,2,299
279,1017,2h2EMB7Q4KQ,front raises,0,10,0.0,9.976643,7,0,299
280,1018,3Gq5dVaJ7EM,front raises,10,20,10.0,18.341675,4,0,250
281,1019,3wAarCjHT8I,front raises,5,15,5.167129,14.626634,3,5,288
282,1020,4AUXIbTOTsc,front raises,1,11,1.4004,10.976643,5,12,299
283,1021,4Kln9AqLRAA,front raises,11,21,11.0,19.757563,3,0,262
284,1022,4asMwQOZGSU,front raises,27,37,28.666667,37.0,3,50,300
285,1023,4u1SX87_hHk,front raises,8,18,8.433767,17.60961,4,13,288
286,1024,4-s5TIz-YrE,front raises,14,24,14.0,18.6,3,0,138
287,1025,55cNMNGtMVk,front raises,2,12,2.0,12.0,5,0,300
288,1026,6Q-P0jc4_58,front raises,5,15,7.585919,14.968302,2,77,299
289,1027,6gdNjUNfctI,front raises,26,36,26.0,35.366667,6,0,281
290,1028,7TXkYHlaftI,front raises,0,10,0.0,10.0,3,0,300
291,1029,77STyrHkwFM,front raises,5,15,5.233333,15.0,3,6,300
292,1030,78HZ_RkMjX4,front raises,1,11,2.001001,10.976643,3,30,299
293,1031,8HUubi50s54,front raises,5,15,5.0,13.408408,4,0,252
294,1032,8ptyL3caEC8,front raises,0,10,0.0,9.968302,3,0,299
295,1033,89ONF3JWdHw,front raises,95,105,96.12,104.88,4,33,296
296,1034,9JSCtK83Lh0,front raises,0,10,0.233567,8.008008,3,7,240
297,1035,9vI4FnrtKB0,front raises,4,14,4.0,13.64,3,0,289
298,1036,97Ulov2NO30,front raises,7,17,7.0,16.275943,5,0,278
299,1037,-eACihRsUK8,front raises,16,26,16.0,22.406406,2,0,192
300,1038,-8k3AnXTBD8,front raises,47,57,47.0,55.183334,5,0,245
301,1605,Aob-I6gP7Iw,jumping jacks,1,11,1.0,4.770437,3,0,113
302,1606,Aob-I6gP7Iw,jumping jacks,1,11,5.487821,10.042376,7,134,271
303,1607,A9ABeh6UxIE,jumping jacks,0,10,0.0,9.969133,11,0,299
304,1608,BAq26zEd6SE,jumping jacks,31,41,31.0,40.98,6,0,299
305,1609,BF5praFFDRE,jumping jacks,426,436,427.101101,435.943277,6,33,298
306,1610,BHhGGt7hHng,jumping jacks,4,14,4.0,13.941256,10,0,298
307,1611,BNB_2OX8vcI,jumping jacks,15,25,15.0,20.692308,5,0,170
308,1612,BNB_2OX8vcI,jumping jacks,15,25,22.384615,25.0,3,221,300
309,1613,CIg4K8fphrw,jumping jacks,8,18,14.75,18.0,2,202,300
310,1614,CqqZtbnCzTM,jumping jacks,8,18,8.0,17.576243,11,0,287
311,1615,DHbcofP3gkY,jumping jacks,2,12,8.766667,12.0,4,203,300
312,1616,DI6RmQHYduw,jumping jacks,0,10,0.0,6.08,6,0,182
313,1617,Eamw0TjkYdY,jumping jacks,15,25,15.0,25.0,10,0,300
314,1618,F5wAVXgKghc,jumping jacks,5,15,5.0,15.0,10,0,300
315,1619,G5Uvda5mdVk,jumping jacks,0,10,0.7,6.133333,5,21,183
316,1620,G9i6nyErAgE,jumping jacks,278,288,278.0,288.0,20,0,300
317,1621,HqDD2PHO03M,jumping jacks,12,22,12.0,21.968302,8,0,299
318,1622,Iq2V18wd8vM,jumping jacks,31,41,32.5,38.0,5,45,210
319,1623,JAC2Ee3oZdU,jumping jacks,18,28,18.0,22.333333,2,0,129
320,1624,J3348QQ-V1w,jumping jacks,0,10,1.466667,10.0,9,44,300
321,1625,K0rLsoLy1Ak,jumping jacks,0,10,0.367034,5.372039,6,11,161
322,1626,K9xEfrOwWo8,jumping jacks,19,29,19.0,29.0,11,0,300
323,1627,LBAujoJIP84,jumping jacks,0,10,0.366667,6.233333,6,11,186
324,1628,LhNmFoojJg8,jumping jacks,2,12,2.0,11.943277,6,0,298
325,1629,LqwloThYE7Y,jumping jacks,35,45,35.0,44.926593,10,0,297
326,1630,L1NI7gAnLE4,jumping jacks,0,10,0.0,9.1,5,0,273
327,1631,MADJrHyo1t4,jumping jacks,0,10,0.0,5.466667,6,0,164
328,1632,M18u9iUgSvo,jumping jacks,10,20,17.833333,20.0,2,234,300
329,1633,N3W0u17tLXk,jumping jacks,310,320,310.0,320.0,12,0,300
330,1634,OHCjElV7cqM,jumping jacks,29,39,29.933333,35.633333,6,27,198
331,1635,P5ohYhxsYo8,jumping jacks,2,12,2.0,11.976643,5,0,299
332,1636,Q9nrtQsIwOQ,jumping jacks,11,21,12.9,19.266667,3,57,248
333,1637,RfW-KjOYXGE,jumping jacks,9,19,9.0,18.968302,17,0,299
334,1638,Ry2hr9Ff0Fs,jumping jacks,5,15,5.0,14.966667,8,0,299
335,1639,SW10CFQo2lg,jumping jacks,6,16,6.0,9.870537,4,0,116
336,1640,SdHws6i9CUk,jumping jacks,5,15,5.0,14.79409,11,0,293
337,1641,TQgGbpuT0yI,jumping jacks,18,28,20.202202,27.976643,8,66,299
338,1642,TghHFaaZysg,jumping jacks,12,22,12.0,21.92,11,0,297
339,1643,T5a2wjNvOaI,jumping jacks,28,38,28.0,38.0,12,0,300
340,1644,UYbkejYOaII,jumping jacks,8,18,8.0,12.8,5,0,144
341,1645,U3ZT2OunZbI,jumping jacks,0,10,0.0,4.571238,4,0,137
342,1646,WBotkxKIzps,jumping jacks,3,13,5.268936,8.939273,4,68,178
343,1647,Xa5S4zyQQDA,jumping jacks,0,10,0.0,7.173841,7,0,215
344,1648,YhCca7NVWeg,jumping jacks,11,21,11.0,12.768435,2,0,53
